Title,Release year,Genre,Duration,Rating,Viewership Certificate,User votes,Plot synopsis,Director,Poster Link
River Beauty,2023,"['Horror', 'Mystery', 'Thriller']",,,,,,,
Funny Thing About Love,2021,"['Comedy', 'Family', 'Romance']",1h 36m,4.7,PG,382,A successful business woman takes her boyfriend home for Thanksgiving only to find her family is scheming to reunite her with her lost love.,Adam White,https://m.media-amazon.com/images/M/MV5BYjFlODViZWEtYjQxOC00MGY5LWE3ZmUtNGI1OTM1MDA1YTFkXkEyXkFqcGdeQXVyMTA4ODQ2MTg1._V1_.jpg
The Man in the Gray Flannel Suit,1956,"['Drama', 'Romance', 'War']",2h 33m,7.1,Approved,4.1K,An ex-soldier faces ethical questions as he tries to earn enough to support his wife and children well.,Nunnally Johnson,https://m.media-amazon.com/images/M/MV5BMWQwN2MzOTUtZTI0Ni00NjRiLThiOTctYzZkM2QxYThlMjkyXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg
Aftermath,2014,"['Horror', 'Sci-Fi', 'Thriller']",1h 32m,4.8,Not Rated,2.1K,"Thanks to a devastating nuclear war, a group of people find themselves crammed together in a house in rural Texas, struggling to cope with radiation poisoning, grief and the locals.",Péter Engert,https://m.media-amazon.com/images/M/MV5BNTQxOTMzMjk3M15BMl5BanBnXkFtZTgwMTgzOTIwMjE@._V1_.jpg
The Changed,2021,"['Horror', 'Sci-Fi', 'Thriller']",,,,,,,
Closed for Storm,2020,['Documentary'],1h 18m,6.2,Not Rated,1.2K,A documentary detailing the history of a massive American theme park that was eventually left completely abandoned.,Jake Williams,https://m.media-amazon.com/images/M/MV5BNTVlNWFlOWQtNTM4NC00MjQ4LWE1NDktNzliM2Y5N2E5NDY2XkEyXkFqcGdeQXVyODc1MDEwMTE@._V1_.jpg
Across the Pacific,1942,"['Action', 'Adventure', 'Drama']",1h 37m,6.8,Approved,5.5K,"In December 1941, ex-army captain Rick Leland boards a Japanese ship heading to Asia via the Panama Canal where his Japanese hosts show interest in the American defense plans for the canal zone.",John Huston,https://m.media-amazon.com/images/M/MV5BNDRlYTkwMWQtMGVkMi00MTEzLWEwNzAtMWVhYTVhOWEyNGVmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_.jpg
Abducted Off the Street: The Carlesha Gaither Story,2024,['Thriller'],1h 30m,7.4,TV-14,101,Philadelphia nurse Carlesha Gaither is abducted off the street by a killer. She fights to survive and leaves clues to aid her rescue.,Katie Boland,
Woods Witch,2023,"['Comedy', 'Horror']",,,,,,,
Some Mother's Son,1996,"['Drama', 'History']",1h 52m,7.2,R,3K,"The 1981 hunger strike in an Irish prison, in which I.R.A. prisoner Bobby Sands led a protest against their treatment as criminals rather than as prisoners of war. It focuses on the mothers of two of the strikers, and their struggle.",Terry George,https://m.media-amazon.com/images/M/MV5BZmRlYzkzNDEtZTE1NC00YWM2LTgzNTYtNDlmNzZhNzEzNTAwXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_.jpg
Strictly Sexual,2008,"['Comedy', 'Drama', 'Romance']",1h 40m,6.2,R,5.5K,"Two successful women, sick and tired of dating and relationships, decide to keep two young men in their pool house for strictly sexual purposes.",Joel Viertel,https://m.media-amazon.com/images/M/MV5BMTIwMzI1OTg5MV5BMl5BanBnXkFtZTcwODE3NjA1MQ@@._V1_.jpg
After Porn Ends 2,2017,['Documentary'],1h 30m,5.5,TV-MA,2.8K,"After Porn Ends 2 turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of its most current retirees, and juxtaposes their experiences in a life after porn.",Bryce Wagoner,https://m.media-amazon.com/images/M/MV5BOGFjMTcxNDAtYjY3OS00MDQ5LWEyZmItZWI3MDZhNGViZWUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjQ3NTAwODY@._V1_.jpg
Awaken,2012,"['Drama', 'Romance', 'Sci-Fi']",1h 35m,6.2,TV-MA,701,"Alex's dreary life is reignited when he meets Rachel, the woman of his dreams. The only thing that stands in the way of their perfect, serendipitous relationship is that Rachel has recently passed away.",Daric Loo,https://m.media-amazon.com/images/M/MV5BZDU0YTg3ZWEtYzE2YS00MmU3LWEyMGItYTkwZTZhYmY1M2Y2XkEyXkFqcGdeQXVyMTA2Mjg2NzA@._V1_.jpg
The State of Things,1982,['Drama'],,,,,,,
The Prisoner of Zenda,1952,"['Adventure', 'Mystery', 'Romance']",1h 36m,6.9,Approved,4K,"An Englishman vacationing in a Ruritarian kingdom is recruited to impersonate his cousin, the soon-to-be-crowned king, after the monarch is drugged and kidnapped.",Richard Thorpe,https://m.media-amazon.com/images/M/MV5BNDBkODM4OTAtZDY5Yi00YjVhLTlmMzEtNzk3OGI4ZmFhZDEyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
Green Eyes,2013,"['Drama', 'Romance']",1h 54m,5.4,Not Rated,73,"Nicolas, a photographer in his 20's, very suddenly loses his girlfriend to a car accident she was driving in. Still overcoming the loss, he takes up a sudden and unexpected affair with a girl he barely knows who is addicted to ecstasy. Their relationship slowly comes apart at the... Read all",Jack Gattanella,https://m.media-amazon.com/images/M/MV5BMjIyNzAwMDAwM15BMl5BanBnXkFtZTcwMjczMzM2Nw@@._V1_.jpg
"Jo Jo Dancer, Your Life Is Calling",1986,"['Biography', 'Comedy', 'Drama']",1h 37m,6.3,R,2K,"After severely burning himself in a drug incident, a comedian has a near death experience in which he reviews his life.",Richard Pryor,https://m.media-amazon.com/images/M/MV5BMjUyZjg0MjMtOGY3NS00YjRkLThjODAtMzk0M2Y0YTJkNjA2XkEyXkFqcGdeQXVyNzY5MTE3OTQ@._V1_.jpg
Stash House,2012,"['Action', 'Horror', 'Thriller']",1h 39m,4.7,R,2.9K,"Dave and Amy have found the perfect house, until they discover a stash of heroin and end up imprisoned in it by violent thugs.",Eduardo Rodriguez,https://m.media-amazon.com/images/M/MV5BMTgzMTQwMTA2OF5BMl5BanBnXkFtZTcwNTYzMDE3Nw@@._V1_.jpg
The Aviator,1985,"['Adventure', 'Drama']",1h 36m,5.5,PG,1.5K,A 1920s mail pilot and a rich man's daughter crash-land on a mountain full of hungry wolves.,George Miller,https://m.media-amazon.com/images/M/MV5BMTI3NTQ2MDY5OF5BMl5BanBnXkFtZTcwMzU2OTIxMw@@._V1_.jpg
The Tomb,1986,"['Horror', 'Fantasy']",1h 24m,3.4,Unrated,742,"A tomb robber steals artifacts from an unmarked tomb in Egypt and sells them to different archeologists in America. This displeases the immortal woman whose tomb has been desecrated, so she follows the artifacts to America, where she busies herself extracting revenge for the thef... Read all",Fred Olen Ray,https://m.media-amazon.com/images/M/MV5BZjAxOTE2Y2MtZjM0Yy00Y2RkLThhZWItYzk2NzFiYTM4YjBkXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
The Message,2020,"['Drama', 'Family']",1h 23m,5.7,TV-PG,178,A bereaved girl tries to get a message to her dead mother.,Timothy Armstrong,https://m.media-amazon.com/images/M/MV5BZjRkZmVjNWYtYzJjYi00NWE1LTg3YTMtM2IzOGU3ZDIxMDAxXkEyXkFqcGdeQXVyMTgwMzgyMzE@._V1_.jpg
Lakota Nation vs. United States,2022,"['Documentary', 'History']",2h,7.9,PG-13,265,A chronicle about how the Lakota Indians fight to reclaim control of the Black Hills. Will investigate how the sacred land was stolen in violation of treaty agreements and feature interviews with Indigenous citizens.,Jesse Short Bull,https://m.media-amazon.com/images/M/MV5BYWY3MmJiNTEtNjdiOS00MmRkLWE4ZDktNTMxN2Q4NWRhYzA5XkEyXkFqcGdeQXVyNDcxNzAyNjI@._V1_.jpg
Total Frat Movie,2016,['Comedy'],1h 33m,4.3,Not Rated,932,"Three years after getting his fraternity revoked, Charlie and the remaining brothers must throw the greatest rush event to recruit a new pledge class and reinstate their frat.",Warren P. Sonoda,https://m.media-amazon.com/images/M/MV5BNjljMzdmOGItMzc5ZC00MDIxLTlkNmEtZWYzZmJhOGNlMTNkXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_.jpg
The Man with the Bag,,,,,,,,,
I Got the Hook Up,1998,"['Comedy', 'Crime']",1h 33m,4.1,R,2.4K,"Two small-time scam artists, Black and Blue, sell boomboxes and broken TVs from their van in a parking lot. When a shipment of cellular phones comes to them by mistake, they soon find themselves targeted by the FBI and gangsters.",Michael Martin,https://m.media-amazon.com/images/M/MV5BNGEyZTdjZGYtZWQxZC00NDlhLWFmZTItYWY3NDI1M2JkYTUwXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_.jpg
Face of a Fugitive,1959,"['Drama', 'Western']",1h 21m,6.6,Approved,927,"A robber who is falsely accused of murdering a deputy sheriff tries to start a new life in a border town near Mexico, but his past catches up with him.",Paul Wendkos,https://m.media-amazon.com/images/M/MV5BZmU0OTQ2ZWItOTVhYy00Y2Q3LWJlZDUtOGM0NTZmZmYxODJkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg
Prancer,1989,"['Drama', 'Family', 'Fantasy']",1h 43m,6.4,G,6.3K,"A farm girl nurses a wounded reindeer she believes is one of Santa's, hoping to bring it back to health in time for Christmas. Her holiday spirit inspires those around her, something her disheartened father is having trouble understanding.",John D. Hancock,https://m.media-amazon.com/images/M/MV5BMjhlNDdhYWMtOTYxMi00MjU2LWJlZDctMDZkZTVmZmY1Mzk0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg
The Last Gangster,1937,"['Crime', 'Drama', 'Thriller']",1h 21m,6.7,Approved,1.8K,A gangster is jailed for ten years after his wife becomes pregnant. He becomes bitter when she divorces him and remarries.,Edward Ludwig,https://m.media-amazon.com/images/M/MV5BNzkxZTNmNDgtYWZjYy00MWE4LWFhM2ItOWRlODJiYTJlMTQ2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
The Sleepwalker,2014,['Drama'],1h 31m,5.1,Not Rated,873,"A young couple, Kaia and Andrew, are renovating Kaia's secluded family estate. Their lives are violently disrupted upon the unexpected arrival of Kaia's sister, Christine, and her fiancé, Ira.",Mona Fastvold,https://m.media-amazon.com/images/M/MV5BMTQ3ODU5MjYwN15BMl5BanBnXkFtZTgwNjQ1NzUxMzE@._V1_.jpg
Cabo Blanco,1980,"['Action', 'Adventure', 'Crime']",1h 27m,5.3,R,1.4K,"In 1948, an assortment of shady characters are searching for Nazi loot, sunken off the coast of Peru.",J. Lee Thompson,https://m.media-amazon.com/images/M/MV5BMzM5M2Y3NTktOWRjNy00ZWMyLWE2NjEtYjE1ZTYxMzhkMWIwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg
Seizure,1974,['Horror'],1h 34m,4.7,PG,1.1K,Jonathan Frid portrays a horror novelist who has a recurring nightmare about three figures out of his book who terrorize him and his family and friends during a weekend of fun. Then the dream becomes reality and it never ends...,Oliver Stone,https://m.media-amazon.com/images/M/MV5BNjJlNThkODItYzhiYy00MDM4LWE4NjUtMzQ2NTE4ZTlkNDg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
5000 Blankets,2022,['Drama'],1h 45m,5.9,PG-13,404,"When her husband has a mental breakdown and goes missing, a woman and her young son set out to find him on the streets, sparking a movement that inspires a city.",Amin Matalga,https://m.media-amazon.com/images/M/MV5BNWM5ZjZkMjAtMzExMS00OWNkLTlhOGYtYTdiOTBlNDc2Njg5XkEyXkFqcGdeQXVyMzQwNzkwNw@@._V1_.jpg
Minions & More 2,2022,"['Animation', 'Adventure', 'Comedy']",50m,6.4,TV-Y7,861,"Catch animated shorts like ""Phil's Dance Party"" and ""Binky Nelson Unpacified"" in this compilation from the company behind the ""Despicable Me"" franchise.",Pierre Coffin,https://m.media-amazon.com/images/M/MV5BMGI5OWUwY2YtMmU5My00NTc2LTk1NzYtZDMyOTc4M2E5NWYwXkEyXkFqcGdeQXVyMTQ4NTcxNTI0._V1_.jpg
Friends & Lovers,1999,"['Comedy', 'Drama', 'Romance']",1h 43m,4.4,R,1.7K,"Featuring an all-star cast including Academy Award nominee Robert Downey Jr., Stephen Baldwin, and super model Claudia Schiffer, FRIENDS & LOVERS is a sexy comedy about best friends who pair up in unexpected ways over a memorable weekend.",George Haas,https://m.media-amazon.com/images/M/MV5BN2ZlODVkNGMtZGNhMy00NzA1LWIzZjItYzFkODE4Y2U3YWFhXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg
I Am Mortal,2021,"['Drama', 'Sci-Fi']",,,,,,,
Walking My Baby Back Home,1953,"['Comedy', 'Musical']",1h 35m,6.2,Approved,171,"World War II veteran Clarence ""Jigger"" Millard forms a band with several other former GIs. The band fails to take off and he is forced to join a minstrel show headed by Colonel Wallace. He soon falls for Wallace's niece Chris Hall.",Lloyd Bacon,https://m.media-amazon.com/images/M/MV5BY2FhMzA5MTctZjM1Mi00MmVkLTk3NTEtN2IzNjBiNGNiZGQ5XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_.jpg
Last Woman on Earth,1960,"['Drama', 'Horror', 'Mystery']",1h 11m,4.7,Not Rated,2.2K,"Ev, her husband Harold, and their friend Martin go scuba diving while on vacation in Puerto Rico. When they surface, they find that everyone on the island has died.",Roger Corman,https://m.media-amazon.com/images/M/MV5BODY4NmY2NmUtM2M1YS00OGRiLWFlYzgtOGQ4NzcwYWMwNWZjXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_.jpg
Madigan,1968,"['Crime', 'Drama', 'Thriller']",1h 41m,6.5,TV-14,4.1K,"In New York City's Spanish Harlem, detectives Madigan and Bonaro are given 72 hours by their superior to capture a hoodlum wanted for homicide in Brooklyn.",Don Siegel,https://m.media-amazon.com/images/M/MV5BMmRmMTM0OWQtZGI3NS00MzY2LWFjN2MtNTlkMzhjNDRiZTRkXkEyXkFqcGdeQXVyNjUzNzcwMjc@._V1_.jpg
The Unsaid,2001,"['Crime', 'Drama', 'Mystery']",1h 51m,6.6,R,6.7K,A seemingly-untroubled adolescent carries disturbing secrets that compel a psychiatrist to unearth the patient's gruesome past.,Tom McLoughlin,https://m.media-amazon.com/images/M/MV5BMDAzYzIyNmYtMzFjMC00ZGJkLWFlMzEtYjE4OWMwMzdmY2I5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg
Amazing Grace and Chuck,1987,"['Drama', 'Sport']",1h 54m,5.8,PG,1.5K,"A little league player named Chuck refuses to ever pitch again until nuclear weapons are disarmed. Basketball star ""Amazing Grace"" Smith follows the boy's example, and starts a trend.",Mike Newell,https://m.media-amazon.com/images/M/MV5BOTkxN2I2MWYtNTlmYy00Y2YyLWFkYzgtM2NiNTExNWI4ZWIxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
Anna and the King of Siam,1946,"['Biography', 'Drama', 'Romance']",2h 8m,7,Approved,2.6K,"In 1862, a young Englishwoman becomes royal tutor in Siam and befriends the King.",John Cromwell,https://m.media-amazon.com/images/M/MV5BZDA3Yzc5NGMtN2ExMC00ZTI1LWJjNzgtNTU1NjNmZjQ3NmIxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg
Visioneers,2008,"['Comedy', 'Drama', 'Sci-Fi']",1h 34m,5.9,R,6.3K,"When people begin exploding from stress, George Washington Winsterhammerman tries to ignore the epidemic and live his usual life, but then he suffers his first symptom.",Jared Drake,https://m.media-amazon.com/images/M/MV5BZWExNDZlZDEtNTdjZi00NDlmLWJhNzktZDQ5ODcyNGE0ZmQyXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_.jpg
The Flying Deuces,1939,"['Comedy', 'Family', 'War']",1h 9m,6.7,Approved,5.8K,Ollie has fallen in love with the innkeeper's daughter in Paris. The only problem - she's very much in love with her husband. To forget her he joins the Foreign Legion with Stan. Bad idea.,A. Edward Sutherland,https://m.media-amazon.com/images/M/MV5BMDBhOGQ3YzAtOTIxOS00NWQ2LWExNzItYjJmZDFjNTU1ODYzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
Blood Shot,2013,"['Action', 'Comedy', 'Horror']",,,,,,,
The Favorite,1989,['Adventure'],1h 44m,4.5,R,327,"The true story of Aimee Dubuca De Rivery, a French girl sold into slavery to the Sultan of the Ottoman Empire.",Jack Smight,https://m.media-amazon.com/images/M/MV5BMTY1ODYxMTk4MV5BMl5BanBnXkFtZTcwODI3NTc0MQ@@._V1_.jpg
Summer of the Monkeys,1998,"['Adventure', 'Drama']",1h 41m,6.1,G,624,"Summer Of The Monkeys (set in 1910 on the prairies of Canada) follows the story of a young boy, Jay, who dreams of getting enough money to buy his dream horse. One summer Jay finds four chimps on the prairie who have fallen off a circus cart. He later learns that there is a big r... Read all",Michael Anderson,https://m.media-amazon.com/images/M/MV5BOTZiZmI3YTMtOTkxYi00ZTY0LTg0YmUtM2U2ZDQzNTM0NDA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Gun Shy,2000,"['Comedy', 'Crime', 'Romance']",1h 41m,5.6,R,7.9K,An undercover agent relies on the support of an unstable therapy group while working a sting operation.,Eric Blakeney,https://m.media-amazon.com/images/M/MV5BMGEyODE1OTgtMzBkMC00ZDZiLWJmOWMtYzAzODdiNjc5OTZhXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_.jpg
Beneath the Darkness,2011,"['Horror', 'Mystery', 'Thriller']",1h 36m,4.5,R,6.4K,"After watching their best friend get murdered, a group of teens struggle to expose a local hero as the vicious killer and keep from becoming his next victims.",Martin Guigui,https://m.media-amazon.com/images/M/MV5BNzY1MjAzNTgzM15BMl5BanBnXkFtZTcwMzU5NzYxNw@@._V1_.jpg
Dante's Inferno,1935,"['Drama', 'Romance']",1h 29m,6.6,Approved,920,"Jim Carter moves in on the McWade's carnival concession which shows scenes from Dante's ""Inferno"". He makes it a going concern, marrying Betty along the way. An inspector calls the amusement pier unsafe but Carter bribes him. The pier collapses, leading to the inspector's suicide... Read all",Harry Lachman,https://m.media-amazon.com/images/M/MV5BMzAxMzY1NDQ3NF5BMl5BanBnXkFtZTgwOTY2NTUyMjE@._V1_.jpg
The First Grader,2010,"['Biography', 'Drama', 'Romance']",1h 43m,7.4,PG-13,4.9K,The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.,Justin Chadwick,https://m.media-amazon.com/images/M/MV5BMTUxNzQ3NTE5M15BMl5BanBnXkFtZTcwNTgxNTEyNQ@@._V1_.jpg
Through the Glass Darkly,2020,['Thriller'],,,,,,,
Winter People,1989,['Drama'],1h 50m,6.2,PG-13,1.7K,"In 1930s Appalachia, a widowed city clock maker falls in love with an unwed mother and finds himself in the middle of a long-standing feud between two clans.",Ted Kotcheff,https://m.media-amazon.com/images/M/MV5BYjc0NGIyNTctOWFhOS00NGEzLWIzZDYtMzYzYTgyZjM0Y2Q0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Angelfist,1993,"['Action', 'Thriller']",1h 20m,4.8,R,464,"An assassination in the Philippines is caught on film by kickboxer Christy, which leads to her death at the hands of radicals intent on disrupting peace talks. Her sister Kat, a Los Angeles police officer, comes to Manila to try and bring justice to the people responsible. She en... Read all",Cirio H. Santiago,https://m.media-amazon.com/images/M/MV5BMDJiZDIyNWQtNzY1Yy00YTAxLTkzYmYtOWZlYjc3M2RmOTY5XkEyXkFqcGdeQXVyMTc0MTIwMDU0._V1_.jpg
Bad Influence,2022,"['Crime', 'Thriller']",1h 29m,5.2,TV-14,163,"A single mom is overjoyed when her daughter finally makes friends at her new high school. Soon, however, it becomes clear that this group of students follow their own moral code that's strange, self-centered, and possibly dangerous.",Bill Corcoran,https://m.media-amazon.com/images/M/MV5BNDk0MmY4ZDMtOTRhOS00M2JmLTkxN2ItYmIyMDQ3ZTViNTc4XkEyXkFqcGdeQXVyMjI4OTg3MTc@._V1_.jpg
Nightfall,1956,"['Crime', 'Drama', 'Film-Noir']",,,,,,,
Open House,2010,"['Crime', 'Drama', 'Horror']",1h 28m,4.3,R,2.6K,"A couple on the verge of a nasty divorce attempt to sell their empty love nest and move on with their lives, separately. After a successful open house they are horrified to discover, days later, that a potential buyer didn't leave their home. While Alice is being held captive in ... Read all",Andrew Paquin,https://m.media-amazon.com/images/M/MV5BMTM0NjQ0ODYyMF5BMl5BanBnXkFtZTcwMzA0ODkwNQ@@._V1_.jpg
Stepdude,,,,,,,,,
"Sweet, Sweet Lonely Girl",2016,"['Drama', 'Horror', 'Thriller']",1h 16m,5.4,Not Rated,970,"Soon after moving in with her aging aunt Dora, Adele meets Beth, seductive and mysterious, who tests the limits of Adele's moral ground and sends her spiraling down a psychologically unstable and phantasmagoric path.",A.D. Calvo,https://m.media-amazon.com/images/M/MV5BYmNmN2E2ZGMtZjk0ZS00NTEyLThmYzgtZjk5YTcxYzAwNmU5XkEyXkFqcGdeQXVyMjE5MTg3NA@@._V1_.jpg
Night Fire,1994,"['Drama', 'Thriller']",1h 37m,4.1,R,543,An unhappy married couple finds themselves at the mercy of a vagabond couple who appear at their door claiming their car broke down. They are really hired by the husband to warm up his wife; but things quickly turn ugly.,Mike Sedan,https://m.media-amazon.com/images/M/MV5BMGFkNDU2MTktYjdhNy00NDY1LTlkNzAtMGUzMzYzMDdkN2ZmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Tinker Bell,,,,,,,,,
Last Train to Fortune,,,,,,,,,
Abbott and Costello Go to Mars,1953,"['Comedy', 'Family', 'Fantasy']",1h 17m,5.9,Approved,3.6K,"Two workmen accidentally launch a space rocket intended for Mars, and find mistakenly landing in New Orleans just the beginning of their misadventures.",Charles Lamont,https://m.media-amazon.com/images/M/MV5BODgxNzU2OGQtNGU0Yy00ZjU4LTg5ODEtNGNmNGYyMThmNDg3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
The Stig-Helmer Story,2011,"['Comedy', 'Drama']",,,,,,,
Wassup Rockers,2005,"['Adventure', 'Comedy', 'Drama']",1h 51m,5.9,R,5K,"A group of teenage boys opt to form their own identity by riding skateboards, wearing tight pants.",Larry Clark,https://m.media-amazon.com/images/M/MV5BZmFiZDgyNzctMjU3NS00YjljLWJmYWUtNWQ3NWI3NzYxZWI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Road to Hell,2008,"['Action', 'Fantasy', 'Musical']",,,,,,,
Sunlight Jr.,2013,['Drama'],1h 30m,5.6,Not Rated,3.3K,A Florida couple holding minimum-wage jobs deals with an unexpected pregnancy.,Laurie Collyer,https://m.media-amazon.com/images/M/MV5BMTg0NjM1NDAwOV5BMl5BanBnXkFtZTgwNTczODg0MDE@._V1_.jpg
Grave of the Vampire,1972,['Horror'],1h 31m,5,PG,1.6K,"A young man, born of a rape committed by a legendary vampire against a living woman, vows to locate and vanquish his undead father.",John Hayes,https://m.media-amazon.com/images/M/MV5BMTZjMTUwNWEtODc3NC00NDgxLThjNGEtNDIyNDhhNTY1YjkzXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
Forever,2015,['Drama'],1h 34m,5.4,R,653,Alice is a young investigative reporter. She suffers a sorrowful loss but finds an enigmatic commune where she starts to find her will to live and love again.,Tatia Pilieva,https://m.media-amazon.com/images/M/MV5BMTQ5NDQ4MTYyNV5BMl5BanBnXkFtZTgwNTQzMjAyNjE@._V1_.jpg
Legal Action,2018,"['Action', 'Crime', 'Drama']",1h 29m,5.9,TV-PG,569,"A woman asks her big shot lawyer ex-husband to defend her career criminal brother, accused of killing a DA. He'll need more than his legal skills to stay alive and win the case.",Brent Christy,https://m.media-amazon.com/images/M/MV5BNWJiNWViZTItNDI5Ni00ZDRkLWFkMGItNDI1NGFjMTM4MTg5XkEyXkFqcGdeQXVyNjAxMTI1Mzk@._V1_.jpg
De Sade,1969,"['Biography', 'Drama', 'History']",2h,4.3,R,774,"A fictionalized biography of the world's most celebrated sexual and physical pervert, who was infamous for his erotic behavior - going from woman to woman, seeking a love that eluded him.",Cy Endfield,https://m.media-amazon.com/images/M/MV5BM2IzNzU3NGMtN2RmNC00YjdkLThkYjQtYjM4MjNmZmQ0MTIzXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
Afterburn/Aftershock,2017,['Romance'],,,,,,,
